simulation,annualized_sharpe,final_equity,strategy_sharpe,p_value
206,0.6064386952025711,3087068.5527485525,0.6788065184942079,0.171
207,0.7207621267551528,3652653.4313859604,0.6788065184942079,0.171
208,0.5859598910064618,3127089.103340182,0.6788065184942079,0.171
209,0.5362250426179719,2684928.9171920437,0.6788065184942079,0.171
210,0.7463078678073883,3621035.1374763744,0.6788065184942079,0.171
211,0.6875437939130389,3632572.9303159313,0.6788065184942079,0.171
212,0.49513448183927433,2679730.6532000694,0.6788065184942079,0.171
213,0.7174433306488219,3688090.5930597,0.6788065184942079,0.171
214,0.48121136704631057,2518972.836037633,0.6788065184942079,0.171
215,0.6906538365404569,3458137.6657327195,0.6788065184942079,0.171
216,0.5523937569704895,2858165.860897774,0.6788065184942079,0.171
217,0.5354700805959159,2688662.8371988568,0.6788065184942079,0.171
218,0.5998531289173318,3425896.7069162563,0.6788065184942079,0.171
219,0.6781894283051588,3382625.1091847555,0.6788065184942079,0.171
220,0.5613383068588628,2875374.0601940094,0.6788065184942079,0.171
221,0.5616395916871402,2929335.9746767017,0.6788065184942079,0.171
222,0.7858171621074553,3712744.0210308074,0.6788065184942079,0.171
223,0.5074795113299196,2657157.396557685,0.6788065184942079,0.171
224,0.6866483477314448,3549457.2327162963,0.6788065184942079,0.171
225,0.6197757876505521,3260079.9055803646,0.6788065184942079,0.171
226,0.4896156025435277,2488203.9951090533,0.6788065184942079,0.171
227,0.6559473073395563,3473833.719883619,0.6788065184942079,0.171
228,0.6111291334835457,3131659.005426482,0.6788065184942079,0.171
229,0.427112187640523,2386583.3766165925,0.6788065184942079,0.171
230,0.5166504979580382,2720865.3750153226,0.6788065184942079,0.171
231,0.50735580689049,2689618.189474176,0.6788065184942079,0.171
232,0.7975208528773,3857969.684608384,0.6788065184942079,0.171
233,0.5589622897335733,3053660.94391126,0.6788065184942079,0.171
234,0.5412227199166489,2988227.0956387282,0.6788065184942079,0.171
235,0.6584555699008772,3203204.06929833,0.6788065184942079,0.171
236,0.7045766671354232,3371175.51763492,0.6788065184942079,0.171
237,0.5386892817644078,3047084.4025389794,0.6788065184942079,0.171
238,0.6166308850795718,3309577.1272476315,0.6788065184942079,0.171
239,0.6436114498728088,3078931.726567861,0.6788065184942079,0.171
240,0.5447311466892553,2850551.0808230448,0.6788065184942079,0.171
241,0.5696840692061749,2810029.8253337517,0.6788065184942079,0.171
242,0.5797370253765164,3077470.9265251937,0.6788065184942079,0.171
243,0.6063199531985333,3181897.3642774494,0.6788065184942079,0.171
244,0.5802600313667471,3146794.9677410596,0.6788065184942079,0.171
245,0.5680180762373099,2993988.991218466,0.6788065184942079,0.171
246,0.5688888248150555,3054974.931462945,0.6788065184942079,0.171
247,0.6479134265142965,3233987.2683581216,0.6788065184942079,0.171
248,0.527926986773589,2748203.668991225,0.6788065184942079,0.171
249,0.5832491555397883,2979131.391966541,0.6788065184942079,0.171
250,0.44413813303156013,2530732.17869114,0.6788065184942079,0.171
251,0.6720427749770403,3385747.993087253,0.6788065184942079,0.171
252,0.7116489022557886,3638335.6130900756,0.6788065184942079,0.171
253,0.5305387494150204,2848647.278056973,0.6788065184942079,0.171
254,0.6608993136943894,3291828.4034099295,0.6788065184942079,0.171
255,0.5082014619759568,2751246.963155943,0.6788065184942079,0.171
256,0.6590019250845544,3332070.2937923158,0.6788065184942079,0.171
257,0.6830727465065648,3352791.7031320683,0.6788065184942079,0.171
258,0.5719938856432047,3080501.218716034,0.6788065184942079,0.171
259,0.52898662271159,2671058.1096133413,0.6788065184942079,0.171
260,0.6410491126991195,3393882.300117097,0.6788065184942079,0.171
261,0.5607494045786445,2948082.9056545245,0.6788065184942079,0.171
262,0.5410741068262851,2864400.4484959464,0.6788065184942079,0.171
263,0.7064404815906503,3463519.281973926,0.6788065184942079,0.171
264,0.7155205590361511,3452510.1822553454,0.6788065184942079,0.171
265,0.548604838705142,2946095.5139514552,0.6788065184942079,0.171
266,0.6546546217837964,3329423.0074257078,0.6788065184942079,0.171
267,0.5893494760770075,3008724.479361539,0.6788065184942079,0.171
268,0.8259463289541334,3878582.9647093583,0.6788065184942079,0.171
269,0.5604097755035431,3008849.1829606574,0.6788065184942079,0.171
270,0.5424769869972217,2931267.496082649,0.6788065184942079,0.171
271,0.5782279874845149,2892051.2257068898,0.6788065184942079,0.171
272,0.726101138720551,3605546.1567188622,0.6788065184942079,0.171
273,0.5417596718627898,2953349.2518762075,0.6788065184942079,0.171
