date,value,cash,return
2021-03-02,1817736.0450247626,829741.2986064707,-0.007791794489961035
2021-03-03,1786570.0491978116,829741.2986064707,-0.01714550135717119
2021-03-04,1759148.0915567793,912611.4996064707,-0.015348940643746367
2021-03-05,1776761.7132077827,1275960.7435931494,0.010012586055455852
2021-03-08,1790018.3406537303,1275960.7435931494,0.007461117237839376
2021-03-09,1790742.430267848,1275960.7435931494,0.0004045151927623003
2021-03-10,1801807.0563718888,1275960.7435931494,0.006178792615298523
2021-03-11,1806404.8241788102,1275960.7435931494,0.0025517536911967564
2021-03-12,1813347.9026928481,1275960.7435931494,0.003843589444129325
2021-03-15,1818871.9904536116,1398024.6435931493,0.003046347450789799
2021-03-16,1818374.872058176,1398024.6435931493,-0.00027331136992858607
2021-03-17,1823231.2593029593,1398024.6435931493,0.0026707294075651866
2021-03-18,1821057.0293956152,1398024.6435931493,-0.001192514606279449
2021-03-19,1822231.8672651865,1398024.6435931493,0.0006451406247069968
2021-03-22,1826625.6396631496,1398024.6435931493,0.0024112037973287315
2021-03-23,1822796.8882769113,1398024.6435931493,-0.002096078858799033
2021-03-24,1823575.1936794792,1398024.6435931493,0.00042698416240094517
2021-03-25,1829067.633384628,1398024.6435931493,0.0030119074465289053
2021-03-26,1842147.8709937828,1398024.6435931493,0.007151314347490834
2021-03-29,1839861.9444322065,1398024.6435931493,-0.0012409028599550398
2021-03-30,1836193.5386264424,1398024.6435931493,-0.001993848406324883
2021-03-31,1837002.1695710786,1398024.6435931493,0.00044038437540794284
2021-04-01,1841260.7936039898,1398024.6435931493,0.0023182465995157386
2021-04-05,1837864.8075412135,838956.5208074177,-0.001844380803943113
2021-04-06,1844649.5654706985,838956.5208074177,0.003691652346595742
2021-04-07,1848615.4254926087,838956.5208074177,0.0021499259784327762
2021-04-08,1857696.4624230927,838956.5208074177,0.00491234510177474
2021-04-09,1862356.359681095,838956.5208074177,0.0025084276964839614
2021-04-12,1867297.5274861774,838956.5208074177,0.002653180622170792
2021-04-13,1869238.5509880716,838956.5208074177,0.0010394827140949303
2021-04-14,1869441.0512401543,838956.5208074177,0.00010833301719337385
2021-04-15,1878891.8390991553,953296.2708074177,0.005055408327923283
2021-04-16,1880562.8031433206,953296.2708074177,0.0008893348778216126
2021-04-19,1872004.3040041884,953296.2708074177,-0.004551030747192764
2021-04-20,1863249.0079701296,953296.2708074177,-0.004676963624138719
2021-04-21,1863829.8235676603,1040475.1522105025,0.00031172194110729023
2021-04-22,1859680.8557395497,1131702.1136526074,-0.00222604433926743
2021-04-23,1861330.829565973,1131702.1136526074,0.000887234936753245
2021-04-26,1860468.5793984395,1131702.1136526074,-0.00046324390798091475
2021-04-27,1859922.4493505862,1131702.1136526074,-0.00029354435430983816
2021-04-28,1858333.683226207,1131702.1136526074,-0.0008542109510715212
2021-04-29,1870110.2082998503,1131702.1136526074,0.0063371423442093455
2021-04-30,1867162.3042535402,1131702.1136526074,-0.0015763263754332568
2021-05-03,1866429.7108192462,1131702.1136526074,-0.0003923565897967496
2021-05-04,1868779.4883438512,837134.1308651454,0.001258969202528215
2021-05-05,1870487.3703894867,837134.1308651454,0.0009139023925979206
2021-05-06,1877816.9613884669,837134.1308651454,0.0039185461046198355
2021-05-07,1885008.7884581229,837134.1308651454,0.0038298871602151507
2021-05-10,1882150.9308931124,837134.1308651454,-0.0015160977405034304
2021-05-11,1866913.059254074,837134.1308651454,-0.008095988153196565
2021-05-12,1839165.3607907724,837134.1308651454,-0.014862876621789867
2021-05-13,1854151.8547146837,837134.1308651454,0.008148529894814738
2021-05-14,1860666.3600588986,837134.1308651454,0.0035134691517579864
2021-05-17,1853624.5040574095,837134.1308651454,-0.0037845882274488707
2021-05-18,1843778.3280863015,837134.1308651454,-0.005311850350249281
2021-05-19,1841769.7209509127,837134.1308651454,-0.0010893973016125047
2021-05-20,1852532.8607539884,837134.1308651454,0.00584391179887489
