year,cost_dollars,pnl,gross_pnl,avg_equity_start,avg_round_trip_bps,avg_positions,cost_drag_pct_of_avg_equity,strategy_label,cost_scenario
2015,19200.0,22729.58923343139,41929.58923343138,1281561.8091169496,16.0,10.0,0.01498171985417513,improved_6,pessimistic
2016,16800.0,109973.93128722749,126773.93128722749,1346320.800350081,14.0,10.0,0.012478452383437536,improved_6,pessimistic
2017,14399.999999999996,228244.9910640379,242644.9910640379,1466180.2559586398,11.999999999999998,10.0,0.009821439036215076,improved_6,pessimistic
2018,12000.0,-5493.893276876603,6506.106723123397,1587949.7708890557,10.0,10.0,0.007556914091357866,improved_6,pessimistic
2019,12000.0,190184.1588856614,202184.1588856614,1709867.512397316,10.0,10.0,0.007018087607954739,improved_6,pessimistic
2020,15359.999999999996,237792.5428909917,253152.5428909917,1938459.756795786,12.799999999999999,10.0,0.007923816806694817,improved_6,pessimistic
2021,9600.0,-6819.649206381166,2780.3507936188325,2057067.2942850038,7.999999999999999,10.0,0.004666838088705684,improved_6,pessimistic
2022,12000.0,-70893.19010404855,-58893.190104048546,1982585.354047923,10.0,10.0,0.006052702838492741,improved_6,pessimistic
2023,9600.0,247710.28630596862,257310.28630596862,2007994.3919302972,7.999999999999999,10.0,0.004780889846396165,improved_6,pessimistic
2024,7200.000000000002,204086.1925609142,211286.1925609142,2364798.6589959986,6.000000000000001,10.0,0.003044656665636322,improved_6,pessimistic
2025,7200.000000000002,168108.8872898443,175308.8872898443,2416938.497523541,6.000000000000001,10.0,0.0029789752645246505,improved_6,pessimistic
2026,2400.0000000000005,203916.06470994782,206316.06470994782,2639978.0261977823,6.000000000000001,8.0,0.0009090984758901917,improved_6,pessimistic
