month,ticker,is_buy,status,exectype,size,price,value,commission
2020-11-30,GEN,False,Completed,0,-5416,18.2772733285,100909.0475355008,0.0
2020-11-30,KMB,True,Completed,0,923,109.6298549892,101188.3561550316,0.0
2020-11-30,LLY,False,Completed,0,-951,124.7300993231,100012.21758879961,0.0
2020-11-30,LMT,True,Completed,0,333,304.5395800839,101411.6801679387,0.0
2020-12-31,ABBV,True,Completed,0,1182,84.9728450565,100437.90285678301,0.0
2020-12-31,GEN,True,Completed,0,6149,16.3150019069,100320.9467255281,0.0
2020-12-31,LMT,False,Completed,0,-333,317.345359802,101411.6801679387,0.0
2020-12-31,MCO,False,Completed,0,-737,270.1751728878,99936.42600650611,0.0
2021-01-31,ABBV,False,Completed,0,-1182,86.6957594779,100437.90285678301,0.0
2021-01-31,IDXX,True,Completed,0,200,503.0,100600.0,0.0
2021-02-28,ABBV,True,Completed,0,1192,84.2848912674,100467.59039074079,0.0
2021-02-28,GEN,False,Completed,0,-6149,18.9107731233,100320.9467255281,0.0
2021-02-28,NTAP,False,Completed,0,-2626,59.0868745673,101205.5977773984,0.0
2021-02-28,QCOM,True,Completed,0,717,140.4072981661,100672.03278509369,0.0
2021-03-31,ABBV,False,Completed,0,-1192,88.8100897986,100467.59039074079,0.0
2021-03-31,ALGN,True,Completed,0,176,567.5737,99892.9712,0.0
2021-03-31,GNRC,True,Completed,0,303,335.0,101505.0,0.0
2021-03-31,NRG,False,Completed,0,-3415,36.3420005714,99755.0070501285,0.0
2021-03-31,NTAP,True,Completed,0,1806,55.6964628973,100587.8119925238,0.0
2021-03-31,QCOM,False,Completed,0,-717,122.6790588921,100672.03278509369,0.0
2021-04-30,ADSK,True,Completed,0,360,277.84,100022.4,0.0
2021-04-30,ALGN,False,Completed,0,-176,546.24,99892.9712,0.0
2021-04-30,GNRC,False,Completed,0,-303,330.0,101505.0,0.0
2021-04-30,HD,True,Completed,0,370,271.476869068,100446.44155516,0.0
2021-04-30,IDXX,False,Completed,0,-200,487.49,100600.0,0.0
2021-04-30,TPL,True,Completed,0,602,165.0891383436,99383.66128284721,0.0
2021-05-31,EBAY,False,Completed,0,-1997,51.3304553325,100693.2336208429,0.0
2021-05-31,GNRC,True,Completed,0,308,325.84,100358.71999999999,0.0
2021-05-31,MAS,True,Completed,0,1724,58.6206893034,101062.0683590616,0.0
2021-05-31,TPL,False,Completed,0,-602,164.5803134083,99383.66128284721,0.0
2021-06-30,GNRC,False,Completed,0,-308,331.57,100358.71999999999,0.0
2021-06-30,MTD,True,Completed,0,76,1315.57,99983.31999999999,0.0
2021-06-30,NTAP,False,Completed,0,-1806,68.5792180449,100587.8119925238,0.0
2021-06-30,WAT,True,Completed,0,310,323.03,100139.29999999999,0.0
2021-07-31,ADSK,False,Completed,0,-360,291.78,100022.4,0.0
2021-07-31,GDDY,True,Completed,0,1149,86.87,99813.63,0.0
2021-07-31,MOS,True,Completed,0,3532,28.8210740364,101796.03349656479,0.0
2021-07-31,MTD,False,Completed,0,-76,1384.39,99983.31999999999,0.0
2021-08-31,MOS,False,Completed,0,-3532,27.8630327942,101796.03349656479,0.0
2021-08-31,ORCL,True,Completed,0,1223,82.2848727665,100634.3993934295,0.0
2021-09-30,ADSK,True,Completed,0,322,311.8,100399.6,0.0
2021-09-30,GDDY,False,Completed,0,-1149,73.94,99813.63,0.0
2021-09-30,ORCL,False,Completed,0,-1223,83.7199104427,100634.3993934295,0.0
2021-09-30,TPR,True,Completed,0,2814,36.1320834158,101675.68273206119,0.0
2021-10-31,ADSK,False,Completed,0,-322,283.8,100399.6,0.0
2021-10-31,COR,True,Completed,0,887,113.0043901161,100234.8940329807,0.0
2021-10-31,MTD,True,Completed,0,72,1369.77,98623.44,0.0
2021-10-31,TPR,False,Completed,0,-2814,32.95063502,101675.68273206119,0.0
2021-11-30,EBAY,True,Completed,0,1418,70.252441172,99617.961581896,0.0
