month,value,cash,return
2022-05-31,1943633.149452185,863836.5186783476,0.03770122479721305
2022-06-30,1856051.4130154871,947809.3892353413,-0.045060836949288974
2022-07-31,1997535.0645466351,858011.9075168583,0.0762283040970737
2022-08-31,2047504.2246351088,992061.642063393,0.02501541073063196
2022-09-30,1962767.6648706505,1046026.152393323,-0.04138529178349293
2022-10-31,2076435.0169313187,1021332.4200092371,0.05791177126823066
2022-11-30,2123764.218847178,1071639.1462825143,0.02279349054024582
2022-12-31,2069046.7748698187,1065838.507655412,-0.025764368516887903
2023-01-31,2081122.8745219493,1031053.6558277541,0.0058365522707384265
2023-02-28,2059053.2441239362,1057849.4258444249,-0.010604674365074507
2023-03-31,2094157.1124754245,1050853.2648623844,0.017048548138163477
2023-04-30,2100306.2023252742,1053029.5363745643,0.002936307793344639
2023-05-31,2050637.7787906379,1051401.1870244252,-0.02364818209823305
2023-06-30,2138692.5710386094,1049119.0910617167,0.04294019800020554
2023-07-31,2179113.506048437,1079868.6254632014,0.018899834205810206
2023-08-31,2176652.71384696,1099440.7584955154,-0.0011292629753553163
2023-09-30,2142508.391214014,1124395.2673834572,-0.015686619374663757
2023-10-31,2126103.644914453,1124395.2673834572,-0.007656794422291946
2023-11-30,2246615.081297987,1110764.495095954,0.05668182577636438
2023-12-31,2325077.6767340554,1164042.1086350197,0.03492480580640289
2024-01-31,2459054.3192375647,1260155.0880364762,0.05762243723904348
2024-02-29,2625552.366191918,1407930.4637885203,0.06770816148785874
2024-03-31,2697815.618847524,1515751.0058122654,0.027523066607281432
2024-04-30,2633787.263891788,1558397.4327393107,-0.02373340657842582
2024-05-31,2644081.129740546,1602570.1558668467,0.003908389257508693
2024-06-30,2673492.118123815,1616440.3663613347,0.011123330540978804
2024-07-31,2673229.044647762,1649915.7534975104,-9.840069258837403e-05
2024-08-31,2728309.2810986205,1640082.4415747616,0.020604383511819924
2024-09-30,2792915.564397837,1672724.9860577204,0.023679970502904713
2024-10-31,2778192.04310004,1778912.8470137299,-0.005271738782755331
2024-11-30,2871867.1683186465,1807351.7853031943,0.033718016524904915
2024-12-31,2797395.616305733,1838512.2143737366,-0.02593140547531425
2025-01-31,2861840.594419271,1800042.4571561562,0.02303749163611135
2025-02-28,2817471.6671836134,1800828.659753027,-0.015503633333799005
2025-03-31,2732679.1430199784,1787603.3582821973,-0.03009525353928222
2025-04-30,2753335.60484018,1763586.7642866601,0.007559051296953001
2025-05-31,2818306.0281246398,1738783.9050142104,0.02359698656794551
2025-06-30,2819592.9465690926,1768695.1743683205,0.00045662835462523255
2025-07-31,2799299.156086595,1760784.8357215275,-0.007197418516453391
2025-08-31,2843456.3650069665,1751383.0326406131,0.01577438010666321
2025-09-30,3029208.0904828617,1745251.3272214155,0.06532603340140941
2025-10-31,3002880.8806403815,1999985.8298610083,-0.008691119611490161
2025-11-30,3003317.4050124,2001765.8212382377,0.0001453685275472072
2025-12-31,2995799.3195361095,1996766.8264970481,-0.0025032603825833055
2026-01-31,3113470.902342965,1976573.4359966808,0.039278860249249536
2026-02-28,3173347.1134954565,1969774.5977193015,0.019231337960291528
2026-03-31,3095025.1028479794,1973288.0465282986,-0.024681198698495055
2026-04-30,3431527.545683193,1941104.3484878703,0.10872365543192886
2026-05-31,3768578.163262875,2181430.2532628747,0.09822174325940813
