month,ticker,size,price,market_value
2018-03-31,UPS,1340,75.4390731789,101088.358059726
2018-03-31,WYNN,860,166.4400931148,143138.480078728
2018-04-30,ABBV,1226,68.6594162365,84176.44430594899
2018-04-30,HD,820,151.970298379,124615.64467078
2018-04-30,LII,960,175.682497813,168655.19790048
2018-04-30,MU,1966,44.8361500528,88147.8710038048
2018-04-30,NVDA,17455,5.5634123224,97109.36208749199
2018-04-30,ON,4088,22.08,90263.04
2018-04-30,SPGI,1225,175.5003692321,214987.9523093225
2018-04-30,TPL,1837,55.3219834837,101626.4836595569
2018-04-30,UPS,1340,81.8109574412,109626.682971208
2018-04-30,WYNN,860,169.9357366585,146144.73352630998
2018-05-31,ALLE,1439,68.7769516957,98970.03349011231
2018-05-31,BA,313,338.9571805339,106093.5975071107
2018-05-31,HD,820,154.2539868902,126488.269249964
2018-05-31,KMB,1282,75.9504574499,97368.4864507718
2018-05-31,LMT,388,253.9087258905,98516.585645514
2018-05-31,ODFL,2322,50.1564310829,116463.2329744938
2018-05-31,SPGI,1225,184.2408299839,225695.0167302775
2018-05-31,TPL,1837,71.7516622521,131807.80355710772
2018-05-31,UPS,1340,84.3595931992,113041.854886928
2018-05-31,WYNN,860,179.5954279502,154452.068037172
2018-06-30,ABBV,1421,65.88601672,93624.02975912
2018-06-30,BA,313,322.9314051594,101077.5298148922
2018-06-30,HD,820,161.3237890232,132285.506999024
2018-06-30,KMB,1282,80.1110293917,102702.3396801594
2018-06-30,LMT,388,238.4824025238,92531.1721792344
2018-06-30,LYB,1726,57.2277328739,98775.0669403514
2018-06-30,ORLY,5567,18.238,101530.946
2018-06-30,SPGI,1225,190.2018370907,232997.25043610748
2018-06-30,TPL,1837,70.5992901471,129690.89600022271
2018-06-30,UPS,1340,77.1746433478,103414.022086052
2018-07-31,BA,313,342.9419679244,107340.8359603372
2018-07-31,HD,820,163.324832434,133926.36259588
2018-07-31,KMB,1282,86.5904861073,111009.0031895586
2018-07-31,LMT,388,263.2404003081,102137.2753195428
2018-07-31,MU,1955,51.4767368701,100637.0205810455
2018-07-31,ON,4497,22.05,99158.85
2018-07-31,ORLY,5567,20.4,113566.79999999999
2018-07-31,SPGI,1225,186.983452972,229054.72989070002
2018-07-31,TPL,1837,75.140753077,138033.56340244898
2018-07-31,UPS,1340,87.0984466814,116711.918553076
2018-08-31,ABBV,1509,68.9393980948,104029.5517250532
2018-08-31,BA,313,331.5799080822,103784.5112297286
2018-08-31,GWW,320,320.005476407,102401.75245024
2018-08-31,HD,820,166.8600250067,136825.220505494
2018-08-31,KMB,1282,87.8681254596,112646.93683920719
2018-08-31,ORLY,5567,22.3613333333,124485.5426664811
