month,factor,portfolio_fmp_return,top_return,bottom_return,n_top,n_bottom
2022-10-31,roe,0.039495837341072995,0.0876871723892793,0.0481913350482063,98,98
2022-11-30,roe,0.019353165931683937,-0.04748440077220397,-0.06683756670388791,98,98
2022-12-31,roe,-0.0354710797671305,0.06722249632257624,0.10269357608970674,98,98
2023-01-31,roe,-0.0067013657341010065,-0.027549794550869762,-0.020848428816768756,98,98
2023-02-28,roe,0.0043469079113074675,0.018251708433869408,0.01390480052256194,98,98
2023-03-31,roe,-0.004835352119759278,-0.0028647103009996782,0.0019706418187595996,98,98
2023-04-30,roe,-0.03756656128205843,-0.017347268251928286,0.020219293030130144,98,98
2023-05-31,roe,0.01733436395630837,0.10388519215257255,0.08655082819626418,98,98
2023-06-30,roe,0.008556573313700931,0.05550893966423219,0.04695236635053126,98,98
2023-07-31,roe,0.026227039338736675,-0.012520826560869478,-0.03874786589960615,98,98
2023-08-31,roe,0.002852133884562756,-0.048636013764490026,-0.05148814764905278,98,98
2023-09-30,roe,-0.000729179360214563,-0.04091762975604019,-0.04018845039582563,98,98
2023-10-31,roe,-0.019537838452399425,0.10259301343441857,0.12213085188681799,98,98
2023-11-30,roe,-0.012266482064109185,0.07084643896862254,0.08311292103273173,98,98
2023-12-31,roe,0.017058074919544218,0.008621685828945803,-0.008436389090598413,98,98
2024-01-31,roe,0.020973834453374335,0.06751238061605681,0.04653854616268248,98,98
2024-02-29,roe,-0.010993261071579219,0.04402460155705779,0.05501786262863701,98,98
2024-03-31,roe,-0.004963537909857624,-0.05439121909223591,-0.04942768118237829,98,99
2024-04-30,roe,-0.009970255115087756,0.03223602596420257,0.04220628107929033,98,99
2024-05-31,roe,0.022700080914393874,0.024996455289416197,0.0022963743750223234,98,99
2024-06-30,roe,-0.017926013205283062,0.026459627797836966,0.04438564100312003,98,99
2024-07-31,roe,-0.0027439614246533746,0.02755618853865918,0.030300149963312553,98,99
2024-08-31,roe,0.01057206443147387,0.040183908291772055,0.029611843860298186,99,99
2024-09-30,roe,0.0017237545395357816,-0.00934068997278364,-0.011064444512319421,99,99
2024-10-31,roe,0.0261389972874397,0.08221543965903384,0.05607644237159414,99,99
2024-11-30,roe,0.014489586615816674,-0.049648134868081784,-0.06413772148389846,99,99
2024-12-31,roe,-5.8636644642666436e-05,0.041772295508874326,0.04183093215351699,99,99
2025-01-31,roe,-0.020391988879830257,-0.008912739016214357,0.011479249863615898,99,99
2025-02-28,roe,-0.020730924598675662,-0.05411181714957917,-0.033380892550903506,99,99
2025-03-31,roe,0.022709399636073473,-0.007237667482460964,-0.029947067118534437,99,100
2025-04-30,roe,0.01942562720298857,0.06253821905673115,0.04311259185374258,99,100
2025-05-31,roe,-0.017553264620796972,0.030842234954874686,0.04839549957567166,100,100
2025-06-30,roe,2.3712604929093314e-05,0.012172273082573033,0.01214856047764394,100,100
2025-07-31,roe,-0.01851634957318864,0.02077011282198347,0.03928646239517211,100,100
2025-08-31,roe,-0.01805394076609468,0.019398248257852687,0.03745218902394737,100,100
2025-09-30,roe,-0.017513692436119062,-0.012121829022310977,0.005391863413808085,100,100
2025-10-31,roe,-0.035155094243744,0.009591257714293975,0.04474635195803798,100,100
2025-11-30,roe,0.00055965597279224,0.00858809286240366,0.00802843688961142,100,100
2025-12-31,roe,-0.022563475550909803,0.03539456496931674,0.057958040520226545,100,100
2026-01-31,roe,-0.004348720323886453,0.03464012664929395,0.038988846973180405,100,100
2026-02-28,roe,-0.010666465439266345,-0.07440791142597372,-0.06374144598670738,100,100
2026-03-31,roe,-0.017025844602370527,0.061436989648654766,0.07846283425102529,100,100
2026-04-30,roe,-0.012503902051084856,0.04497697495433018,0.057480877005415036,100,100
2006-06-30,pe,0.028709854797379284,-0.00711537362296268,-0.03582522842034196,73,73
2006-07-31,pe,-0.017062046262928794,0.016664453622174516,0.03372649988510331,72,72
2006-08-31,pe,-0.017747405189727294,0.018763335841230227,0.03651074103095752,72,72
2006-09-30,pe,-0.004313222463990567,0.04612052145861678,0.05043374392260735,73,73
