month,intercept,ma_ratio_3,ma_ratio_5,ma_ratio_10,ma_ratio_20,ma_ratio_50,ma_ratio_100,ma_ratio_200,ma_ratio_400,ma_ratio_600,ma_ratio_800,ma_ratio_1000,smoothed_window,smoothed_n_obs
2014-09-30,-0.2743981735648567,0.18646723622465497,0.1653701297580099,-0.04341921333861487,-0.08338020402686654,0.05126797654861286,0.0251622756997984,0.02179025186766162,-0.011315412388089448,-0.1526565552678681,0.1912634600558091,-0.05975391120267167,12,414.3333333333333
2014-10-31,-0.2785302242482097,0.18284515183223268,0.22798596462102413,-0.2363466399853753,0.10449221758761505,-0.015638791107279573,0.023297500399904386,0.03323614301046414,-0.017474652278851182,-0.12190181617975437,0.23526398410288274,-0.12153192271779002,12,415.0833333333333
2014-11-30,-0.22525588217614045,0.03196610562508306,0.30225600781795325,-0.12708014794816858,0.02618049598031617,0.005705514785790543,-0.02651677897624993,0.0388252109030353,-0.0120544947562881,-0.09014166593475648,0.22196402536250878,-0.12892401830316272,12,415.8333333333333
2014-12-31,-0.1840918099481338,-0.10405430243782961,0.4547060225492208,-0.2539581724871806,0.13090090407054925,-0.024388695966395466,-0.036042590213987695,0.016763832282479758,0.0018471852950536726,-0.052905119889038066,0.16866524298114516,-0.10028101587464988,12,416.5833333333333
2015-01-31,-0.22231869020963133,0.2518544949899451,0.11639797075121738,-0.20824517147459262,0.08592477001626612,0.034249986267540146,-0.06403631940536332,0.03251648990902411,-0.0698104667258689,-0.006760759505672255,0.15454414122590013,-0.08729576886191431,12,417.3333333333333
2015-02-28,-0.23510226413743007,0.1945305921019933,0.18833987924267537,-0.19835514533081877,0.02117181730587786,0.11104136519090857,-0.10979709595420224,0.04182629237799227,-0.0439498665318537,0.013521830031851319,0.08229366504158715,-0.048837081131595406,12,418.0
2015-03-31,-0.33843907681808094,0.3591985274158744,0.17241892367672254,-0.28826050685811433,0.1054772562736237,0.06735786765665402,-0.07808849440871826,0.012149662934402228,-0.06258132072043689,0.07223596108569998,0.06557264185264584,-0.07400040304195347,12,418.75
2015-04-30,-0.35503757298869076,0.5050766762992293,-0.07196911094394653,-0.15796563434422906,0.07886494150596934,0.09615181873781535,-0.1405218795717248,0.050301951128361444,-0.01750161678251409,-0.0026156163528779455,0.14197049114692098,-0.11582610537989023,12,419.75
2015-05-31,-0.3845732002887425,0.5842686332555231,-0.16206747682227465,-0.12645587902567598,0.11222097214115351,0.07672518833444138,-0.11835396168613037,0.01772312856620978,-0.010916865868047554,0.02632029981705003,0.0757203915264058,-0.08080975840559099,12,420.6666666666667
2015-06-30,-0.355966229446415,0.561745380888293,-0.29429708518538017,0.0406393095131005,0.05265326598036466,0.1383157330095761,-0.17371876866341474,0.019379976706664317,-0.018487145933869038,0.06422154265470757,0.09136381402426745,-0.12252898281155385,12,421.5833333333333
2015-07-31,-0.23963383270293617,0.5922370083766576,-0.5660022886645274,0.2519262648000047,-0.0452170306030212,0.13587689183552074,-0.14995877160981716,0.03208542068763939,-0.05619857379003466,0.08648429312220607,0.14206230159694488,-0.18106297371736524,12,422.4166666666667
2015-08-31,-0.16944910820236192,0.45516272983542877,-0.45325534951748886,0.16898460588825615,0.013905521557955096,0.09062848617501802,-0.13560243321346357,0.04415782745772895,-0.07266358777291256,0.10157805980578409,0.10088512376974779,-0.14938035279410913,12,423.0833333333333
2015-09-30,-0.07832359363475867,0.29771265343779296,-0.4164034057642199,0.2565019484704956,-0.03483893317451737,0.05414427373518987,-0.10997680736441989,0.06168385997795379,-0.08024062946243975,0.09668725565677812,0.06337966629034823,-0.11332405939495373,12,423.75
2015-10-31,-0.12526617462441272,0.38451181360019326,-0.5812425186208511,0.48340350019350486,-0.1693659531752626,0.10115971124611119,-0.1163861955976198,0.05332389761638523,-0.09269272443507466,0.1282316691127421,-8.305685859274121e-05,-0.06489728771863064,12,424.4166666666667
2015-11-30,-0.19091569023885346,0.5494809284512191,-0.6858606124735807,0.4614433382706747,-0.15586680318561394,0.07972390255781532,-0.06594336254301332,0.048308726787165884,-0.11891572293741114,0.15294163418893733,-0.020091298059724396,-0.05503145321460148,12,425.1666666666667
2015-12-31,-0.20231087574810058,0.43383716129448263,-0.4953199989039538,0.41113174081397336,-0.201013199668704,0.1208190086906672,-0.05669459894516718,0.05286611691983286,-0.14507682147592113,0.1504042024815808,-0.020787061351886443,-0.05104702426007468,12,425.8333333333333
2016-01-31,-0.12926285850185895,0.1504683948831894,-0.24112967893990558,0.4020653987329242,-0.2468710370864451,0.09140355148519413,0.01311295587123465,-0.0067229163344782504,-0.07060719446012566,0.06798591388366408,0.012258701211618392,-0.04494045055222697,12,426.4166666666667
2016-02-29,-0.17779937430451268,0.254763118833456,-0.3066297617818812,0.4270962234295245,-0.2157817148930682,0.027462725429898735,0.027505017818175465,0.012438501065998317,-0.12957889351700091,0.11640685557183006,0.00770867139544687,-0.045976152718770834,12,427.0
