strategy,signal_month,GICS Sector,sector_count,n_holdings,sector_share
base_equal_top10,2014-04-30,Industrials,4,10,0.4
base_equal_top10,2014-04-30,Information Technology,2,10,0.2
base_equal_top10,2014-05-31,Consumer Staples,2,10,0.2
base_equal_top10,2014-05-31,Energy,1,10,0.1
base_equal_top10,2014-05-31,Financials,1,10,0.1
base_equal_top10,2014-05-31,Industrials,4,10,0.4
base_equal_top10,2014-05-31,Information Technology,1,10,0.1
base_equal_top10,2014-05-31,Materials,1,10,0.1
base_equal_top10,2014-06-30,Consumer Staples,2,10,0.2
base_equal_top10,2014-06-30,Energy,2,10,0.2
base_equal_top10,2014-06-30,Financials,1,10,0.1
base_equal_top10,2014-06-30,Industrials,2,10,0.2
base_equal_top10,2014-06-30,Information Technology,3,10,0.3
base_equal_top10,2014-07-31,Consumer Staples,3,10,0.3
base_equal_top10,2014-07-31,Energy,1,10,0.1
base_equal_top10,2014-07-31,Financials,1,10,0.1
base_equal_top10,2014-07-31,Industrials,3,10,0.3
base_equal_top10,2014-07-31,Information Technology,2,10,0.2
base_equal_top10,2014-08-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2014-08-31,Consumer Staples,1,10,0.1
base_equal_top10,2014-08-31,Energy,1,10,0.1
base_equal_top10,2014-08-31,Financials,1,10,0.1
base_equal_top10,2014-08-31,Industrials,4,10,0.4
base_equal_top10,2014-08-31,Information Technology,2,10,0.2
base_equal_top10,2014-09-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2014-09-30,Consumer Staples,3,10,0.3
base_equal_top10,2014-09-30,Energy,1,10,0.1
base_equal_top10,2014-09-30,Financials,1,10,0.1
base_equal_top10,2014-09-30,Health Care,1,10,0.1
base_equal_top10,2014-09-30,Industrials,2,10,0.2
base_equal_top10,2014-09-30,Information Technology,1,10,0.1
base_equal_top10,2014-10-31,Consumer Staples,2,10,0.2
base_equal_top10,2014-10-31,Energy,1,10,0.1
base_equal_top10,2014-10-31,Financials,1,10,0.1
base_equal_top10,2014-10-31,Health Care,1,10,0.1
base_equal_top10,2014-10-31,Industrials,3,10,0.3
base_equal_top10,2014-10-31,Information Technology,2,10,0.2
base_equal_top10,2014-11-30,Communication Services,1,10,0.1
base_equal_top10,2014-11-30,Consumer Staples,2,10,0.2
base_equal_top10,2014-11-30,Energy,1,10,0.1
base_equal_top10,2014-11-30,Financials,1,10,0.1
base_equal_top10,2014-11-30,Industrials,3,10,0.3
base_equal_top10,2014-11-30,Information Technology,1,10,0.1
base_equal_top10,2014-11-30,Real Estate,1,10,0.1
base_equal_top10,2014-12-31,Communication Services,1,10,0.1
base_equal_top10,2014-12-31,Consumer Staples,1,10,0.1
base_equal_top10,2014-12-31,Energy,1,10,0.1
base_equal_top10,2014-12-31,Financials,1,10,0.1
base_equal_top10,2014-12-31,Health Care,1,10,0.1
base_equal_top10,2014-12-31,Industrials,1,10,0.1
base_equal_top10,2014-12-31,Information Technology,4,10,0.4
base_equal_top10,2015-01-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2015-01-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-01-31,Energy,1,10,0.1
base_equal_top10,2015-01-31,Financials,1,10,0.1
base_equal_top10,2015-01-31,Health Care,3,10,0.3
base_equal_top10,2015-01-31,Industrials,1,10,0.1
base_equal_top10,2015-02-28,Communication Services,1,10,0.1
base_equal_top10,2015-02-28,Consumer Staples,3,10,0.3
base_equal_top10,2015-02-28,Financials,1,10,0.1
base_equal_top10,2015-02-28,Health Care,1,10,0.1
base_equal_top10,2015-02-28,Industrials,2,10,0.2
base_equal_top10,2015-02-28,Information Technology,2,10,0.2
base_equal_top10,2015-03-31,Consumer Discretionary,2,10,0.2
base_equal_top10,2015-03-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-03-31,Energy,1,10,0.1
base_equal_top10,2015-03-31,Financials,1,10,0.1
base_equal_top10,2015-03-31,Health Care,2,10,0.2
base_equal_top10,2015-03-31,Industrials,1,10,0.1
base_equal_top10,2015-04-30,Communication Services,1,10,0.1
base_equal_top10,2015-04-30,Consumer Discretionary,1,10,0.1
base_equal_top10,2015-04-30,Consumer Staples,2,10,0.2
base_equal_top10,2015-04-30,Energy,1,10,0.1
base_equal_top10,2015-04-30,Financials,1,10,0.1
base_equal_top10,2015-04-30,Health Care,2,10,0.2
base_equal_top10,2015-04-30,Industrials,2,10,0.2
base_equal_top10,2015-05-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-05-31,Financials,1,10,0.1
base_equal_top10,2015-05-31,Health Care,2,10,0.2
base_equal_top10,2015-05-31,Industrials,3,10,0.3
base_equal_top10,2015-05-31,Information Technology,1,10,0.1
base_equal_top10,2015-06-30,Consumer Staples,3,10,0.3
base_equal_top10,2015-06-30,Financials,1,10,0.1
base_equal_top10,2015-06-30,Health Care,1,10,0.1
base_equal_top10,2015-06-30,Industrials,2,10,0.2
base_equal_top10,2015-06-30,Information Technology,3,10,0.3
base_equal_top10,2015-07-31,Communication Services,1,10,0.1
base_equal_top10,2015-07-31,Consumer Discretionary,1,10,0.1
base_equal_top10,2015-07-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-07-31,Energy,1,10,0.1
base_equal_top10,2015-07-31,Industrials,3,10,0.3
base_equal_top10,2015-07-31,Information Technology,1,10,0.1
base_equal_top10,2015-08-31,Consumer Staples,3,10,0.3
base_equal_top10,2015-08-31,Health Care,2,10,0.2
base_equal_top10,2015-08-31,Industrials,4,10,0.4
base_equal_top10,2015-08-31,Information Technology,1,10,0.1
base_equal_top10,2015-09-30,Communication Services,1,10,0.1
base_equal_top10,2015-09-30,Consumer Staples,2,10,0.2
base_equal_top10,2015-09-30,Health Care,3,10,0.3
base_equal_top10,2015-09-30,Industrials,4,10,0.4
