month,ticker,size,price,market_value
2022-06-30,MPC,1071,75.3532462917,80703.3267784107
2022-06-30,NRG,2402,34.5102482271,82893.6162414942
2022-07-31,BLDR,1862,68.0,126616.0
2022-07-31,BX,1252,90.4739643835,113273.40340814201
2022-07-31,CL,1396,71.987362191,100494.357618636
2022-07-31,COR,730,140.5049277497,102568.59725728098
2022-07-31,IT,413,265.48,109643.24
2022-07-31,KMB,838,114.2469874672,95738.9754975136
2022-07-31,MTD,87,1349.73,117426.51
2022-07-31,NUE,1012,128.4894260156,130031.2991277872
2022-07-31,STLD,1597,73.6976314063,117695.1173558611
2022-07-31,STX,1572,71.1901872494,111910.9743560568
2022-08-31,BG,1211,89.1759401221,107992.0634878631
2022-08-31,CL,1396,71.502814287,99817.928744652
2022-08-31,COP,1182,95.3998864033,112762.66572870061
2022-08-31,COR,730,141.542811236,103326.25220228001
2022-08-31,CVX,717,135.7305810427,97318.8266076159
2022-08-31,DVN,1857,60.502738129,112353.584705553
2022-08-31,KMB,838,110.5453816057,92637.0297855766
2022-08-31,MPC,1190,92.9010881432,110552.294890408
2022-08-31,OXY,1612,66.9750648887,107963.80460058441
2022-08-31,VLO,1018,104.7425861484,106627.95269907119
2022-09-30,BMY,1745,60.417124528,105427.88230136
2022-09-30,CF,1049,88.6455750981,92989.2082779069
2022-09-30,CL,1396,64.2254533136,89658.7328257856
2022-09-30,COR,730,130.6972478478,95408.99092889401
2022-09-30,DLTR,737,136.1,100305.7
2022-09-30,IT,350,276.69,96841.5
2022-09-30,KMB,838,98.4611644992,82510.4558503296
2022-09-30,MTD,82,1084.12,88897.84
2022-09-30,ON,1454,62.33,90627.81999999999
2022-09-30,STX,1677,47.9334283445,80384.3593337265
2022-10-31,AAPL,737,150.5444157882,110951.2344359034
2022-10-31,CL,1396,67.9592318168,94871.0876162528
2022-10-31,COR,730,151.8378874354,110841.657827842
2022-10-31,EQT,2593,39.5909379501,102659.30210460929
2022-10-31,GWW,211,564.9056752662,119195.0974811682
2022-10-31,IT,350,301.92,105672.0
