strategy,month,portfolio_return,pnl,equity,prev_equity,n_positions,regime_on
trend_heavy_top10_regime,2026-02-28,-0.020443299439254423,-69608.70793100153,3335355.746942736,3404964.454873738,10,True
trend_heavy_top10_regime,2026-03-31,0.0,0.0,3335355.746942736,3335355.746942736,0,False
trend_heavy_top10_regime,2026-04-30,0.06434262811910718,214605.55447046342,3549961.3014132,3335355.746942736,10,True
trend_heavy_top10_regime,2026-05-31,0.0,0.0,3549961.3014132,3549961.3014132,0,True
base_top10_stop10_take20,2006-06-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-07-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-08-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-09-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-10-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-11-30,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2006-12-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2007-01-31,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2007-02-28,0.0,0.0,1000000.0,1000000.0,0,False
base_top10_stop10_take20,2007-03-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-04-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-05-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-06-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-07-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-08-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-09-30,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-10-31,0.0,0.0,1000000.0,1000000.0,0,True
base_top10_stop10_take20,2007-11-30,0.0,0.0,1000000.0,1000000.0,0,False
